Table_Name,column_name,data_type,is_nullable,Length/precision
"Posts","Id (PK)","int","NO","10"
"Posts","PostTypeId","tinyint","NO","3"
"Posts","AcceptedAnswerId","int","YES","10"
"Posts","ParentId","int","YES","10"
"Posts","CreationDate","datetime","NO","3"
"Posts","DeletionDate","datetime","YES","3"
"Posts","Score","int","NO","10"
"Posts","ViewCount","int","YES","10"
"Posts","Body","nvarchar","YES","-1"
"Posts","OwnerUserId","int","YES","10"
"Posts","OwnerDisplayName","nvarchar","YES","40"
"Posts","LastEditorUserId","int","YES","10"
"Posts","LastEditorDisplayName","nvarchar","YES","40"
"Posts","LastEditDate","datetime","YES","3"
"Posts","LastActivityDate","datetime","YES","3"
"Posts","Title","nvarchar","YES","250"
"Posts","Tags","nvarchar","YES","250"
"Posts","AnswerCount","int","YES","10"
"Posts","CommentCount","int","YES","10"
"Posts","FavoriteCount","int","YES","10"
"Posts","ClosedDate","datetime","YES","3"
"Posts","CommunityOwnedDate","datetime","YES","3"